ID,yob,dob,yod,pod,mother,sex,matriline,father,right.narrowness.avg,left.narrowness.average,,r.narr.mother,l.narr.mother,narr.diff.mother,r.narr.father,l.narr.father,narr.diff.father,FA.narrowness,FA.level,right.notch,left.notch,m.r.notch,m.l.notch,FA.notch,FA.same,no.FA,both.FA.all,both.FA
J1,1951,1950,2010,J,NA,M,NA,NA,2.666836197,3.47395662,0.807120423,NA,NA,NA,NA,NA,NA,Y,high,Y,Y,NA,NA,N,N,N,N,N
J14,1973,1970,2016,J,J12,F,J12,NA,3.267329621,3.388605993,0.121276372,NA,NA,NA,NA,NA,NA,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
J16,1972,1970,NA,J,NA,F,J10,NA,3.493502914,3.982965509,0.489462596,NA,NA,NA,NA,NA,NA,Y,medium,N,N,NA,NA,N,N,N,N,N
J17,1977,1970,2019,J,J5,F,J5,NA,3.595081523,3.924566258,0.329484736,NA,NA,NA,NA,NA,NA,Y,medium,Y,Y,NA,NA,N,N,N,N,N
J19,1979,1970,NA,J,J4,F,J4,*4,3.682057247,4.072999277,0.39094203,NA,NA,NA,NA,NA,NA,Y,medium,Y,Y,NA,NA,N,N,N,N,N
J2,1911,1911,2016,J,NA,F,NA,NA,3.196901291,3.42269851,0.225797219,NA,NA,NA,NA,NA,NA,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
J22,1985,1980,NA,J,J10,F,J10,J1,2.903050263,3.642303443,0.73925318,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,high,Y,Y,NA,NA,N,N,N,N,N
J26,1991,1990,NA,J,J16,M,J16,*7,3.224184153,3.770899427,0.546715274,3.493502914,3.982965509,0.489462596,NA,NA,NA,Y,medium,Y,Y,N,N,N,N,N,N,N
J27,1991,1990,NA,J,J11,M,J4,J1,2.995169869,3.342468898,0.347299029,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,medium,N,N,NA,NA,N,N,N,N,N
J28,1993,1990,2016,J,J17,F,J5,J1,4.152777421,4.09169031,-0.061087111,3.595081523,3.924566258,0.329484736,2.666836197,3.47395662,0.807120423,N,low,Y,Y,Y,Y,N,Y,Y,N,NA
J30,1995,1990,2011,J,J14,M,J12,*1,3.452502095,3.729812521,0.277310426,3.267329621,3.388605993,0.121276372,NA,NA,NA,N,low,Y,N,Y,Y,Y,N,N,N,NA
J31,1995,1990,NA,J,J11,F,J4,*7,3.067486694,3.669243863,0.601757169,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
J32,1996,1990,2014,J,J20,F,J10,J1,3.438524903,4.425864364,0.987339462,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,high,Y,N,NA,NA,Y,Y,N,Y,Y
J33,1996,1990,2010,J,J16,M,J16,J1,2.984024977,3.627395696,0.643370719,3.493502914,3.982965509,0.489462596,2.666836197,3.47395662,0.807120423,Y,medium,Y,Y,N,N,N,N,N,N,N
J34,1998,1990,2016,J,J22,M,J10,L41,2.984674122,3.467809834,0.483135712,2.903050263,3.642303443,0.73925318,2.65000296,3.473480284,0.823477324,Y,medium,Y,N,Y,Y,Y,Y,N,Y,Y
J35,1998,1990,NA,J,J17,F,J5,L41,4.234774683,4.510469805,0.275695122,3.595081523,3.924566258,0.329484736,2.65000296,3.473480284,0.823477324,N,low,Y,Y,Y,Y,N,Y,Y,N,NA
J36,1999,1990,NA,J,J16,F,J16,L41,3.122891299,3.605758479,0.48286718,3.493502914,3.982965509,0.489462596,2.65000296,3.473480284,0.823477324,Y,medium,Y,N,N,N,Y,Y,N,Y,Y
J37,2001,2000,NA,J,J14,F,J12,L41,2.935677058,3.591157011,0.655479954,3.267329621,3.388605993,0.121276372,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J38,2003,2000,NA,J,J22,M,J10,*8,2.504295525,3.595456511,1.091160986,2.903050263,3.642303443,0.73925318,NA,NA,NA,Y,high,Y,Y,Y,Y,N,N,N,N,N
J40,2004,2000,NA,J,J14,F,J12,L41,3.381343303,3.890950811,0.509607508,3.267329621,3.388605993,0.121276372,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J41,2005,2000,NA,J,J19,F,J4,J1,3.644286798,4.082977955,0.438691157,3.682057247,4.072999277,0.39094203,2.666836197,3.47395662,0.807120423,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J42,2007,2000,NA,J,J16,F,J16,J26,3.181464233,3.503088662,0.321624429,3.493502914,3.982965509,0.489462596,3.224184153,3.770899427,0.546715274,Y,medium,Y,Y,N,N,N,N,N,N,N
J43,2007,2000,2007,J,J14,U,J12,NA,2.655729336,4.049959078,1.394229742,3.267329621,3.388605993,0.121276372,NA,NA,NA,Y,high,N,N,Y,Y,N,N,N,N,N
J44,2009,2000,NA,J,J17,M,J5,L41,2.806653504,3.923575908,1.116922404,3.595081523,3.924566258,0.329484736,2.65000296,3.473480284,0.823477324,Y,high,Y,Y,Y,Y,N,N,N,N,N
J45,2009,2000,NA,J,J14,M,J12,L41,3.030641223,3.4642708,0.433629577,3.267329621,3.388605993,0.121276372,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J46,2009,2000,NA,J,J28,F,J5,J1,2.966082799,3.185551375,0.219468576,4.152777421,4.09169031,-0.061087111,2.666836197,3.47395662,0.807120423,N,low,Y,N,Y,Y,Y,N,N,N,NA
J47,2010,2010,NA,J,J35,M,J5,NA,3.030990779,4.00150575,0.970514971,4.234774683,4.510469805,0.275695122,NA,NA,NA,Y,high,Y,Y,Y,Y,N,N,N,N,N
J49,2012,2010,NA,J,J37,M,J12,L79,3.057921608,3.467809834,0.409888226,2.935677058,3.591157011,0.655479954,2.753086384,3.576440187,0.823353804,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J50,2014,2010,2018,J,J16,F,J16,NA,2.970535072,3.548963719,0.578428647,3.493502914,3.982965509,0.489462596,NA,NA,NA,Y,medium,N,Y,N,N,Y,Y,N,Y,Y
J51,2015,2010,NA,J,J41,M,J4,NA,3.102734623,3.611064929,0.508330306,3.644286798,4.082977955,0.438691157,NA,NA,NA,Y,medium,Y,N,Y,Y,Y,Y,N,Y,Y
J52,2015,2010,2017,J,J36,M,J16,NA,2.622049505,2.989087421,0.367037916,3.122891299,3.605758479,0.48286718,NA,NA,NA,Y,medium,Y,N,Y,N,Y,Y,N,Y,Y
J53,2015,2010,NA,J,J17,F,J5,L41,3.264152929,3.766752587,0.502599658,3.595081523,3.924566258,0.329484736,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,Y,N,N,N,N,N
J54,2015,2010,2016,J,J28,M,J54,NA,3.486123939,3.198968036,-0.287155903,4.152777421,4.09169031,-0.061087111,NA,NA,NA,N,low,Y,Y,Y,Y,N,Y,Y,N,NA
K13,1971,1970,2017,K,K11,F,K11,NA,2.925320358,3.962419227,1.037098869,NA,NA,NA,NA,NA,NA,Y,high,Y,N,NA,NA,Y,Y,N,Y,Y
K14,1976,1970,NA,K,K3,F,K3,J1,3.208160535,3.430192074,0.222031539,NA,NA,NA,2.666836197,3.47395662,0.807120423,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
K20,1987,1980,NA,K,K13,F,K11,*12,3.041927048,3.508222822,0.466295775,2.925320358,3.962419227,1.037098869,NA,NA,NA,Y,medium,Y,N,Y,N,Y,Y,N,Y,Y
K26,1993,1990,NA,K,K14,M,K3,*7,3.274107029,3.765669267,0.491562239,3.208160535,3.430192074,0.222031539,NA,NA,NA,Y,medium,Y,N,Y,Y,Y,Y,N,Y,Y
K27,1994,1990,NA,K,K13,F,K11,J1,2.820537516,3.570434907,0.749897391,2.925320358,3.962419227,1.037098869,2.666836197,3.47395662,0.807120423,Y,high,Y,Y,Y,N,N,N,N,N,N
K33,2001,2000,NA,K,K22,M,K4,L41,2.749826107,3.248802005,0.498975898,NA,NA,NA,2.65000296,3.473480284,0.823477324,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
K34,2001,2000,NA,K,K13,M,K11,L41,3.013821866,3.523431532,0.509609666,2.925320358,3.962419227,1.037098869,2.65000296,3.473480284,0.823477324,Y,medium,Y,N,Y,N,Y,Y,N,Y,Y
K35,2002,2000,NA,K,K16,M,K3,L41,2.873807037,3.788029929,0.914222892,NA,NA,NA,2.65000296,3.473480284,0.823477324,Y,high,Y,Y,NA,NA,N,N,N,N,N
K36,2003,2000,NA,K,K14,F,K3,L41,3.085480757,3.818014415,0.732533658,3.208160535,3.430192074,0.222031539,2.65000296,3.473480284,0.823477324,Y,high,N,Y,Y,Y,Y,Y,N,Y,Y
K37,2003,2000,NA,K,K12,M,K4,J1,2.690789909,3.336688438,0.64589853,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,medium,N,Y,NA,NA,Y,Y,N,Y,Y
K40,1962,1960,2012,K,K18,F,K18,NA,2.935831439,3.316484927,0.380653489,NA,NA,NA,NA,NA,NA,Y,medium,Y,Y,NA,NA,N,N,N,N,N
K42,2008,2000,NA,K,K14,M,K3,L41,2.320422386,3.290299665,0.96987728,3.208160535,3.430192074,0.222031539,2.65000296,3.473480284,0.823477324,Y,high,N,Y,Y,Y,Y,Y,N,Y,Y
K43,2010,2010,NA,K,K12,F,K4,J1,2.71480358,3.370198206,0.655394626,NA,NA,NA,2.666836197,3.47395662,0.807120423,Y,medium,Y,Y,NA,NA,N,N,N,N,N
K44,2011,2010,NA,K,K27,M,K11,L78,2.542360035,3.084094464,0.541734429,2.820537516,3.570434907,0.749897391,NA,NA,NA,Y,medium,Y,N,Y,Y,Y,Y,N,Y,Y
L100,2001,2000,2014,L,L54,M,L35,L41,2.919138195,3.569279869,0.650141674,3.087049978,3.751055889,0.664005911,2.65000296,3.473480284,0.823477324,Y,medium,N,Y,N,Y,Y,Y,N,Y,Y
L103,2003,2000,NA,L,L55,F,L4,J1,3.23567911,3.605517848,0.369838738,3.052381978,3.625023941,0.572641963,2.666836197,3.47395662,0.807120423,Y,medium,Y,Y,N,N,N,N,N,N,N
L104,2004,2000,2006,L,L43,M,L43,NA,2.928715913,3.655982912,0.727266999,NA,NA,NA,NA,NA,NA,Y,high,N,Y,NA,NA,Y,Y,N,Y,Y
L105,2004,2000,NA,L,L72,M,L43,NA,3.123561164,3.226188831,0.102627667,NA,NA,NA,NA,NA,NA,N,low,Y,N,NA,NA,Y,N,N,N,NA
L106,2005,2000,NA,L,L86,M,L4,L41,2.525227747,3.219945509,0.694717763,2.671712401,3.214917631,0.54320523,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,N,N,N,N,N,N
L108,2006,2000,NA,L,L54,M,L35,J1,2.673838695,3.436772497,0.762933803,3.087049978,3.751055889,0.664005911,2.666836197,3.47395662,0.807120423,Y,high,N,Y,N,Y,Y,Y,N,Y,Y
L109,2007,2000,NA,L,L55,M,L4,J1,2.794956916,3.420847343,0.625890427,3.052381978,3.625023941,0.572641963,2.666836197,3.47395662,0.807120423,Y,medium,Y,N,N,N,Y,Y,N,Y,Y
L110,2007,2000,NA,L,L83,M,L21,NA,2.94844192,3.635177965,0.686736045,3.182069313,4.007763256,0.825693943,NA,NA,NA,Y,medium,Y,N,Y,Y,Y,Y,N,Y,Y
L112,2009,2000,2012,L,L86,F,L11,L41,2.520568692,3.11708079,0.596512099,2.671712401,3.214917631,0.54320523,2.65000296,3.473480284,0.823477324,Y,medium,Y,Y,Y,N,N,N,N,N,N
L113,2009,2000,NA,L,L94,F,L11,NA,2.970010967,3.587349278,0.617338311,2.51606341,3.548905783,1.032842373,NA,NA,NA,Y,medium,Y,Y,Y,N,N,N,N,N,N
L115,2010,2010,NA,L,L47,M,L21,NA,2.667858887,3.330745457,0.66288657,3.95385679,3.823412706,-0.130444084,NA,NA,NA,Y,medium,Y,N,N,Y,Y,Y,N,Y,Y
L116,2010,2010,NA,L,L82,M,L4,L41,3.070664551,3.312298373,0.241633822,2.73403784,3.095645532,0.361607692,2.65000296,3.473480284,0.823477324,N,low,N,N,N,Y,N,Y,Y,N,NA
L117,2010,2010,NA,L,L54,M,L35,NA,2.828058833,3.221762313,0.39370348,3.087049978,3.751055889,0.664005911,NA,NA,NA,Y,medium,N,Y,N,Y,Y,Y,N,Y,Y
L118,2011,2010,NA,L,L55,F,L4,NA,2.64126464,3.233787412,0.592522771,3.052381978,3.625023941,0.572641963,NA,NA,NA,Y,medium,Y,Y,N,N,N,N,N,N,N
L119,2012,2010,NA,L,L77,F, L11,L78,2.609457009,3.019287122,0.409830113,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
L121,2015,2010,NA,L,L94,M,L11,NA,2.644012945,3.108886458,0.464873513,2.51606341,3.548905783,1.032842373,NA,NA,NA,Y,medium,Y,N,Y,N,Y,Y,N,Y,Y
L122,2015,2010,NA,L,L91,M,L21,NA,3.369255143,3.690312875,0.321057731,3.206054165,3.539628796,0.333574631,NA,NA,NA,Y,medium,N,Y,N,Y,Y,Y,N,N,N
L123,2015,2010,NA,L,L103,M,L4,NA,2.853108592,3.306761549,0.453652957,3.23567911,3.605517848,0.369838738,NA,NA,NA,Y,medium,Y,Y,Y,Y,N,N,N,N,N
L21,1950,1950,2008,L,NA,F,L21,NA,2.694882708,3.312789741,0.617907033,NA,NA,NA,NA,NA,NA,Y,medium,N,N,NA,NA,N,N,N,N,N
L22,1970,1970,NA,L,NA,F,L22,NA,2.862384501,4.134092437,1.271707936,NA,NA,NA,NA,NA,NA,Y,high,Y,N,NA,NA,Y,Y,N,Y,Y
L25,1928,1920,NA,L,NA,F,L25,NA,3.650782708,4.122661259,0.471878551,NA,NA,NA,NA,NA,NA,Y,medium,N,Y,NA,NA,Y,Y,N,N,N
L26,1956,1950,2013,L,NA,F,L26,NA,3.552844164,3.608336348,0.055492185,NA,NA,NA,NA,NA,NA,N,low,Y,N,NA,NA,Y,N,N,N,NA
L41,1976,1970,2019,L,L11,M,L11,*4,2.65000296,3.473480284,0.823477324,NA,NA,NA,NA,NA,NA,Y,high,N,Y,NA,NA,Y,Y,N,Y,Y
L47,1973,1970,2021,L,L21,F,L21,NA,3.95385679,3.823412706,-0.130444084,2.694882708,3.312789741,0.617907033,NA,NA,NA,N,low,N,Y,N,N,Y,N,N,N,NA
L53,1976,1970,2014,L,L7,F,L7,NA,3.507517694,3.7651506,0.257632906,NA,NA,NA,NA,NA,NA,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
L54,1976,1970,NA,L,L35,F,L35,*5,3.087049978,3.751055889,0.664005911,NA,NA,NA,NA,NA,NA,Y,medium,N,Y,NA,NA,Y,Y,N,Y,Y
L55,1976,1970,NA,L,L4,F,L4,NA,3.052381978,3.625023941,0.572641963,NA,NA,NA,NA,NA,NA,Y,medium,N,N,NA,NA,N,N,N,N,N
L57,1976,1970,2008,L,L45,M,L45,NA,2.998653462,3.332713264,0.334059803,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
L73,1985,1980,2010,L,L5,M,L5,*17,2.970375799,3.087653605,0.117277806,NA,NA,NA,NA,NA,NA,N,low,N,Y,NA,NA,Y,N,N,N,NA
L79,1989,1980,2013,L,L22,M,L22,*7,2.753086384,3.576440187,0.823353804,2.862384501,4.134092437,1.271707936,NA,NA,NA,Y,high,N,N,Y,N,N,N,N,N,N
L82,1990,1990,NA,L,L55,F,L4,*1,2.73403784,3.095645532,0.361607692,3.052381978,3.625023941,0.572641963,NA,NA,NA,Y,medium,N,Y,N,N,Y,Y,N,Y,Y
L83,1990,1990,NA,L,L47,F,L21,*1,3.182069313,4.007763256,0.825693943,3.95385679,3.823412706,-0.130444084,NA,NA,NA,Y,high,Y,Y,N,Y,N,N,N,N,N
L84,1990,1990,2019,L,L51,M,L51,*7,2.775715297,3.423766181,0.648050884,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
L85,1991,1990,NA,L,L28,M,L28,*7,2.939941399,3.157255409,0.21731401,NA,NA,NA,NA,NA,NA,N,low,Y,Y,NA,NA,N,Y,Y,N,NA
L86,1991,1990,NA,L,L4,F,L4,*17,2.671712401,3.214917631,0.54320523,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
L87,1992,1990,NA,L,L32,M,L32,*17,2.887339152,3.859354336,0.972015184,NA,NA,NA,NA,NA,NA,Y,high,Y,N,NA,NA,Y,Y,N,Y,Y
L88,1993,1990,NA,L,L2,M,L2,*17,2.492804854,3.123318534,0.63051368,NA,NA,NA,NA,NA,NA,Y,medium,Y,N,NA,NA,Y,Y,N,Y,Y
L89,1993,1990,NA,L,L22,M,L22,*7,2.731180906,3.855587977,1.124407071,2.862384501,4.134092437,1.271707936,NA,NA,NA,Y,high,Y,Y,Y,N,N,N,N,N,N
L90,1993,1990,NA,L,L26,F,L26,*17,2.998764856,3.745285593,0.746520737,3.552844164,3.608336348,0.055492185,NA,NA,NA,Y,high,N,N,Y,N,N,N,N,N,N
L91,1995,1990,NA,L,L47,F,L21,NA,3.206054165,3.539628796,0.333574631,3.95385679,3.823412706,-0.130444084,NA,NA,NA,Y,medium,N,Y,N,Y,Y,Y,N,Y,Y
L92,1995,1990,2017,L,L60,M,L26,*1,3.605169032,4.023244877,0.418075845,NA,NA,NA,NA,NA,NA,Y,medium,Y,Y,NA,NA,N,N,N,N,N
L94,1995,1990,NA,L,L11,F,L11,*7,2.51606341,3.548905783,1.032842373,NA,NA,NA,NA,NA,NA,Y,high,Y,N,NA,NA,Y,Y,N,Y,Y
L95,1996,1990,2016,L,L43,M,L43,L41,3.526217913,4.599644114,1.073426201,NA,NA,NA,2.65000296,3.473480284,0.823477324,Y,high,Y,Y,NA,NA,N,N,N,N,N
